Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.065609,0.17971,-6.3539E-18,0,0,0,90.437,2.3213,-0.11083,-1.8146E-08,6.741,-5.9043E-17,5.5108,0,0,0,0,0,0,package://my_car/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://my_car/meshes/base_link.STL,,upfront-2;ST-2;axle-1;upfront-1;SB-1;chassis-1;SB-2;ST-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_steering,-5.5511E-17,0.00020772,0,0,0,0,2.4413,0.0075579,-9.2586E-21,-1.8188E-35,0.012751,5.7305E-35,0.0075579,0,0,0,0,0,0,package://my_car/meshes/front_left_steering.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://my_car/meshes/front_left_steering.STL,,wheel-4,fl,fl_steering,front_left_steering_joint,revolute,-0.25853,-0.2159,0.11466,0,0,3.1416,base_link,0,0,-1,100,0,-0.785,0.785,,,,,,,,
front_right_steering,-5.5511E-17,-0.00020772,-1.3878E-17,0,0,0,2.4413,0.0075579,-1.5134E-18,-5.4803E-34,0.012751,-3.0127E-19,0.0075579,0,0,0,0,0,0,package://my_car/meshes/front_right_steering.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://my_car/meshes/front_right_steering.STL,,wheel-3,fr,fr_steering,front_right_steering_joint,revolute,-0.26353,0.2159,0.11466,0,0,3.1416,base_link,0,0,-1,100,0,-0.785,0.785,,,,,,,,
rear_wheels,1.6653E-16,0,-2.7756E-17,0,0,0,4.8826,0.015116,1.2777E-20,-9.7389E-19,0.025501,3.5405E-19,0.015116,0,0,0,0,0,0,package://my_car/meshes/rear_wheels.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://my_car/meshes/rear_wheels.STL,,wheel-1;wheel-2,rear,rear_axle,rear_wheels_joint,continuous,0.254,0,0.075,0,0,3.1416,base_link,0,1,0,100,0,,,,,,,,,,
